Price,Sq Ft,Bedrooms,Full Bath,Property Type,Taxes,Style,Lot Size,Year Built,Town/City,Half Bath
649000.0,6000.0,4,2.0, Single Family ,10328.0,Hi Ranch,0.14,1966.0,Roosevelt,0
675000.0,1231.0,4,3.0, Single Family ,9733.0,Cape Cod,0.14,1954.0,Roosevelt,0
549999.0,6600.0,4,1.0, Single Family ,7914.0,Colonial,0.15,1928.0,Roosevelt,0
749000.0,7750.0,4,3.0, Single Family ,9289.0,Two Story,0.18,1916.0,Roosevelt,0
799000.0,6250.0,4,3.0, Single Family ,0.0,Colonial,0.14,2024.0,Roosevelt,0
799000.0,6250.0,4,3.0, Single Family ,0.0,Colonial,0.14,2024.0,Roosevelt,0
725000.0,4000.0,4,2.0, Single Family ,6901.0,Bungalow,0.09,1927.0,Roosevelt,0
649000.0,8520.0,3,3.0, Single Family ,7996.0,Split Level,0.2,1954.0,Roosevelt,0
590000.0,8000.0,2,2.0, Single Family ,6701.0,Ranch,0.18,1926.0,Roosevelt,0
539000.0,5700.0,4,2.0, Single Family ,9000.0,Duplex,0.13,1924.0,Roosevelt,0
649999.0,1902.0,3,1.0, Single Family ,5760.0,Colonial,0.19,1998.0,Roosevelt,1
550000.0,6000.0,4,2.0, Single Family ,7055.0,Colonial,0.14,1936.0,Roosevelt,0
699000.0,8298.0,6,3.0, Single Family ,10703.0,Victorian,0.19,1910.0,Roosevelt,1
748888.0,7500.0,4,2.0, Single Family ,8035.0,Duplex,0.17,1908.0,Roosevelt,0
749000.0,9310.0,3,1.0, Single Family ,7197.0,Colonial,0.21,1923.0,Roosevelt,1
615000.0,5000.0,4,1.0, Single Family ,7467.0,Cape Cod,0.11,1947.0,Roosevelt,0
659000.0,5985.0,5,3.0, Single Family ,8247.0,Colonial,0.14,1930.0,Roosevelt,0
650000.0,9225.0,4,3.0, Single Family ,10608.0,Cape Cod,0.21,1928.0,Roosevelt,0
639000.0,4400.0,3,2.0, Single Family ,9671.0,Cape Cod,0.1,1940.0,Roosevelt,0
599999.0,6480.0,3,2.0, Single Family ,9405.0,Cape Cod,0.15,1947.0,Roosevelt,0
465000.0,5000.0,3,2.0, Single Family ,7899.0,Ranch,0.11,1964.0,Roosevelt,0
659000.0,8694.0,3,2.0, Single Family ,11272.0,Ranch,0.2,1954.0,Roosevelt,0
